Composer;Range;Prevalence of Most Common Pitch Class;Relative Prevalence of Top Pitches;Pitch Class Variability After Folding;Most Common Melodic Interval;Number of Common Melodic Intervals;Stepwise Motion;Vertical Dissonance Ratio;Diminished and Augmented Triads;Note Density Variability
1;57.0000;0.7200;5.0000;3.4900;1.0000;0.1600;0.2900;0.2800;0.0600;1.7800
1;58.0000;0.8400;5.0000;3.5100;2.0000;0.2000;0.4900;0.2900;0.0200;1.5900
1;54.0000;0.7600;5.0000;3.6200;2.0000;0.2000;0.4600;0.1700;0.0600;1.5200
1;58.0000;0.8500;7.0000;3.4700;3.0000;0.0500;0.1000;0.1900;0.0400;3.7800
1;60.0000;0.9200;5.0000;3.4500;12.0000;0.1300;0.2700;0.1900;0.0300;3.4100
1;58.0000;0.8200;7.0000;3.4800;1.0000;0.1400;0.2600;0.1800;0.0100;1.6500
1;59.0000;0.9500;7.0000;3.5900;1.0000;0.2200;0.3500;0.1400;0.0200;3.5400
1;60.0000;0.8400;7.0000;3.5200;2.0000;0.1500;0.3200;0.1900;0.0700;4.4400
1;60.0000;0.9800;7.0000;3.3500;1.0000;0.1800;0.3200;0.2300;0.0300;3.3500
1;60.0000;0.8100;7.0000;3.4100;12.0000;0.0800;0.1600;0.1800;0.0500;1.6100
1;60.0000;0.8900;7.0000;3.2900;3.0000;0.0700;0.1700;0.1600;0.0300;3.2500
1;62.0000;0.7700;7.0000;3.4900;1.0000;0.1900;0.3400;0.2300;0.0200;2.4900
1;59.0000;0.9400;4.0000;3.4400;5.0000;0.1200;0.2400;0.2400;0.0700;1.6600
1;60.0000;0.9200;7.0000;3.5000;1.0000;0.1900;0.3600;0.2200;0.0500;3.6300
1;60.0000;0.8100;5.0000;3.5100;2.0000;0.1100;0.2700;0.1900;0.0300;3.4000
1;57.0000;0.9700;5.0000;3.4100;3.0000;0.1400;0.2500;0.2400;0.0800;1.7400
1;60.0000;0.8300;5.0000;3.5300;2.0000;0.1400;0.3400;0.2400;0.0200;3.6600
1;60.0000;0.9700;7.0000;3.3800;12.0000;0.0700;0.1400;0.2400;0.0400;5.3000
1;60.0000;0.6600;5.0000;3.5600;3.0000;0.0700;0.1600;0.2400;0.0600;3.4900
1;60.0000;1.0000;7.0000;3.4900;2.0000;0.1600;0.4200;0.2600;0.0100;2.6300
1;62.0000;0.8800;7.0000;3.4500;1.0000;0.1200;0.2400;0.2100;0.0300;3.5900
1;57.0000;0.6200;7.0000;3.4600;1.0000;0.2400;0.4200;0.1300;0.0900;1.7100
1;60.0000;0.8800;7.0000;3.4200;2.0000;0.1100;0.2500;0.2200;0.0200;2.1100
1;59.0000;0.7200;7.0000;3.4700;2.0000;0.1700;0.3500;0.2500;0.0100;2.6700
1;57.0000;0.7400;7.0000;3.4300;7.0000;0.0800;0.1800;0.1900;0.0500;2.2800
1;59.0000;0.9200;5.0000;3.5600;2.0000;0.2100;0.4800;0.1600;0.0300;3.7000
1;60.0000;0.8500;5.0000;3.4400;1.0000;0.1900;0.3000;0.1400;0.0500;3.0400
