data_set_id;Range;Relative Prevalence of Top Pitch Classes;Interval Between Most Prevalent Pitch Classes;Pitch Class Variability;Most Common Melodic Interval;Chromatic Motion;Stepwise Motion;Vertical Dissonance Ratio;Diminished and Augmented Triads;Note Density Variability
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata10-3.mid;5.9e1;9.197e-1;5e0;3.56e0;2e0;2.061e-1;4.841e-1;1.588e-1;3.47e-2;3.704e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata11-1.mid;6e1;8.538e-1;5e0;3.439e0;1e0;1.901e-1;3.044e-1;1.422e-1;4.897e-2;3.038e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata11-2.mid;5.8e1;9.233e-1;7e0;3.289e0;1e0;2.327e-1;4.333e-1;3.183e-1;3.325e-2;2.496e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata11-3.mid;5.3e1;8.639e-1;8e0;3.437e0;1e0;2.954e-1;5.412e-1;2.409e-1;3.891e-2;2.795e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata12-1.mid;5.8e1;7.164e-1;5e0;3.297e0;1.2e1;5.855e-2;1.766e-1;1.657e-1;7.315e-2;5.036e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata12-2.mid;5.3e1;9.64e-1;2e0;3.49e0;2e0;1.366e-1;3.4e-1;1.853e-1;1.12e-1;2.133e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata12-3.mid;5.7e1;6.887e-1;5e0;3.385e0;0e0;2.051e-2;5.762e-2;1.046e-1;4.162e-3;1.908e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata15-1.mid;5.8e1;8.071e-1;7e0;3.321e0;2e0;1.117e-1;2.732e-1;1.735e-1;6.341e-2;4.834e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata15-2.mid;5.7e1;7.513e-1;7e0;3.293e0;1e0;1.717e-1;2.722e-1;2.575e-1;1.452e-2;2.685e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata15-3.mid;5.6e1;7.899e-1;4e0;3.325e0;1.2e1;5.497e-2;8.115e-2;1.248e-1;1.906e-2;2.094e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata15-4.mid;5.9e1;9.542e-1;7e0;3.332e0;1.2e1;1.036e-1;2.077e-1;1.469e-1;3.47e-2;3.175e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata16-1.mid;5.9e1;8.285e-1;4e0;3.416e0;1e0;1.739e-1;3.352e-1;1.506e-1;3.796e-2;4.595e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata16-3.mid;5.8e1;7.951e-1;5e0;3.382e0;1.2e1;1.436e-1;3.104e-1;2.028e-1;2.342e-2;3.311e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata19-1.mid;5.8e1;6.944e-1;5e0;3.355e0;2e0;1.634e-1;3.501e-1;2.772e-1;3.471e-2;1.536e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata19-2.mid;5.1e1;5.354e-1;5e0;3.634e0;2e0;1.287e-1;2.972e-1;1.983e-1;3.192e-2;1.971e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata20-1.mid;5.7e1;8.187e-1;5e0;3.51e0;2e0;1.48e-1;3.953e-1;1.305e-1;4.876e-3;1.513e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata20-2.mid;4.5e1;5.977e-1;5e0;3.551e0;2e0;1.436e-1;3.444e-1;1.761e-1;5.327e-2;1.83e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata25-1.mid;6.2e1;9.507e-1;5e0;3.496e0;2e0;1.088e-1;2.848e-1;2.474e-1;1.674e-2;2.648e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata25-2.mid;5.1e1;9.4e-1;8e0;3.49e0;3e0;4.836e-2;1.388e-1;8.257e-2;2.457e-2;1.781e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata25-3.mid;6e1;8.582e-1;5e0;3.527e0;2e0;1.169e-1;3.923e-1;9.608e-2;1.818e-2;4.159e0
